0,1,2,3,4
LIABILITIES & EQUITY (Rs. crs),March 31 2020,March 2019,March 31 2018,"March 31, 2017"
Financial Liabilities,,,,
Debt Securities,778,1372,1015,-
Borrowings (Other than Debt Securities),2227,1576,1297,933
Subordinated Liabilities,20,20,20,1
Other Financial liabilities,227,45,15,26
Total Financial Liabilities,3252,3012,2346,959
Non-Financial Liabilities,,,,
Current Tax Liabilities (net),65,6,9,24
Provisions,3,0,0,1
Other Non-Financial liabilities,30,23,18,18
Total Non-Financial Liabilities,98,29,28,42
Equity,,,,
Equity Share Capital,64,60,30,28
Other Equity,2562,1830,1361,899
Equity attributable to shareholders of the company,2626,1889,1391,-
Non-Controlling Interest,1,1,-,-
Total Equity,2627,1890,1391,928
Total Liabilities and Equity,5977,4932,3764,1929
