0,1,2,3,4,5
Particulars (Rs. crs),Q1 FY21,Q1 FY20,Y-o0-Y,Q4 FY20,Q-o-Q
Revenue from Operations,,,,,
Interest and Fee Income,309.8,277.3,,297.6,
Net gain on fair value changes,15.5,14.8,,108.6,
Fees & commission,0.0,4.9,,17.4,
Other Operating Income,0.7,1.2,,5.1,
Total income from operations,326.0,298.2,,428.7,
Other Income,1.0,6.7,,111,
Total income,327.0,304.9,7.2%,439.8,-25.7%
Expenses,,,,,
Finance Cost,85.0,89.2,,82.5,
Impairment/Credit Cost Cost,22.2,22.9,,58.9,
Employee Expenses,41.6,39.8,,48.6,
Depreciation,1.5,1.9,,2.3,
Other Expenses,9.0,8.2,,9.7,
Total Expenses,159.3,162.2,,202.0,
Profit before Tax,167.7,142.7,17.5%,237.8,-29.5%
Tax expense e e e e e e e e e e e e e e e e e e,19.4 e e e e e e e e e e,49.3 e e e e,e e e e e e e,25.4 e e e e e e,e e e e e e
Normalized Profits,148.3,93.4,58.7%,212.4,-30.2%
e e e e e e e e e e e e e e e e e e Provision and write-off related to Covid-19 and others,e e e e e e e e e e 89.3,e e e e e e,e e e e e,e e e e e e e 129.2,e e e e
